Symbol,DaysBetterThanSP,daysProfit,daysProfitGrouped,Year,Month,Day,dayOfWeek,closeDay0,volumeDay0,closeDay6,volumeDay6,closeDay29,volumeDay29,closeDay59,volumeDay59,closeDay89,volumeDay89,closeDay179,volumeDay179,closeDay261,volumeDay261,Name,MarketCap,Sector,ipoDate,CEOInChargeDuringIPO,presidentInChargeDuringIPO,stateCountry,Revenue,netIncome,employees_x,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,Profit_Ratio,Profitable
ARI,111,2,0 - 49,2009,9,24,3,18.5,5842710.0,18.3,238863.0,18.25,176298.0,17.93,170930.0,17.57,87368.0,16.85,46943.0,16.38,364968.0,Apollo Commercial Real Estate Finance,1921514090.0,Consumer Services,2009-09-24,0,0,USA,288.17,190120000.0,1583,0.580181543,1.189646522,1.644220162,0.8854054054054054,False
ARL,80,240,200+,2000,8,3,3,10.125,2900.0,10.0,1700.0,10.563,1500.0,14.5,1800.0,14.938,1800.0,12.1,300.0,10.55,500.0,"American Realty Investors, Inc.",318418598.4,Finance,2000-08-03,0,0,USA,125.89,-8430000.0,515,-0.670869742,0.089234671,0.265026957,1.0419753086419754,True
ARLP,104,6,0 - 49,1999,8,17,1,4.7031,13010400.0,4.4535,633600.0,3.5,846400.0,3.125,546400.0,3.141,371600.0,3.375,350800.0,3.8125,88800.0,"Alliance Resource Partners, L.P.",2166448887.0,Energy,1999-08-17,0,0,USA,1800.0,276370000.0,3321,0.278278367,0.14175407,0.516597237,0.8106355382619974,False
AROC,116,259,200+,2000,5,24,2,13.3561,7520932.0,16.0425,427667.0,20.5828,0.0,18.691,42618.0,15.3614,99276.0,19.9774,30394.0,20.486,77637.0,"Archrock, Inc.",727886919.6,Public Utilities,2000-05-24,0,0,USA,794.66,18330000.0,1700,-1.102491901,-0.700190803,-0.665390585,1.5338309835955108,True
ASND,130,68,50 - 99,2015,1,28,2,18.83,3507107.0,17.91,82410.0,17.67,52473.0,20.44,59490.0,16.23,84906.0,16.62,48573.0,18.18,46341.0,Ascendis Pharma A/S,2040176188.0,Health Care,2015-01-28,1,1, Denmark,5.1,-75780000.0,92,-1.383538718,-1.435445731,-0.007224794,0.965480616038237,False
ATHN,116,219,200+,2007,9,20,3,35.5,9299906.0,33.91,257988.0,38.23,123147.0,43.7,62738.0,35.38,393559.0,30.0,199634.0,35.99,727717.0,"athenahealth, Inc.",5778895657.0,Miscellaneous,2007-09-20,0,0,USA,1220.0,53100000.0,5156,1.948614291,0.838385056,0.847939764,1.0138028169014086,True
AVAV,126,131,100 - 149,2007,1,23,1,23.93,6808051.0,22.87,365966.0,21.0,185205.0,22.77,36955.0,20.56,0.0,23.62,251145.0,23.59,174002.0,"AeroVironment, Inc.",1356186586.0,Capital Goods,2007-01-23,0,0,USA,264.87,12480000.0,661,0.908827785,1.218985276,1.289030702,0.9857918930213122,False
AWI,117,240,200+,2006,10,12,3,35.4453,169852.0,34.1886,62425.0,34.4746,159814.0,36.7452,81695.0,40.3244,15115.0,45.4029,97503.0,34.804,105823.0,Armstrong World Industries Inc,3032307834.0,Consumer Non-Durables,2006-10-12,0,0,USA,893.5,219900000.0,3900,1.970231963,1.982811798,2.381065454,0.9819073332712659,False
AXTI,113,167,150 - 200,1998,5,21,3,10.625,3224000.0,11.125,55600.0,14.75,21900.0,12.75,30600.0,9.625,62400.0,19.0,435700.0,26.188,57200.0,AXT Inc,268003728.4,Technology,1998-05-21,0,0,USA,98.67,10150000.0,694,0.343291471,0.770564713,1.239266989,2.4647529411764704,True
AYI,123,236,200+,2001,11,28,2,10.3246,8046.0,11.6402,349854.0,11.8234,81068.0,11.2072,289683.0,14.2047,122743.0,11.3654,47439.0,11.6569,0.0,Acuity Brands Inc,5351244429.0,Consumer Durables,2001-11-28,0,0,USA,3510.0,321700000.0,12500,0.270895287,0.880914562,-0.301967663,1.1290413187920114,True
AYR,118,261,200+,2006,8,8,1,26.6,5475000.0,28.0,165200.0,28.74,121300.0,32.78,124800.0,29.02,73300.0,35.1,189900.0,34.79,609200.0,Aircastle Limited,1570736640.0,Technology,2006-08-08,0,1,USA,796.62,146830000.0,111,0.604374162,0.331354039,-0.350065353,1.3078947368421052,True
BCC,134,208,200+,2013,2,6,2,26.15,13196462.0,27.58,415205.0,33.28,322230.0,32.03,214735.0,27.0,209295.0,25.71,119432.0,29.47,226894.0,"Boise Cascade, L.L.C.",1616765155.0,Consumer Services,2013-02-06,0,0,USA,4430.0,82960000.0,6370,1.427683895,1.712305576,2.289310934,1.126959847036329,True
BEAT,114,257,200+,2008,3,19,2,17.7,1584063.0,17.5,34279.0,22.44,99761.0,26.95,59367.0,27.85,78373.0,19.34,287140.0,26.24,278416.0,"BioTelemetry, Inc.",1125781452.0,Health Care,2008-03-19,0,0,USA,286.78,-15960000.0,1600,-1.012335175,-1.256109353,-1.671293568,1.4824858757062147,True
BECN,142,262,200+,2004,9,23,3,10.66,13321279.0,11.0,553764.0,11.8667,268062.0,14.1067,289719.0,13.1933,55758.0,16.2533,197763.0,21.1733,335859.0,"Beacon Roofing Supply, Inc.",3539983272.0,Consumer Services,2004-09-23,0,0,USA,4380.0,100860000.0,5406,-0.714847702,0.105122369,-0.299060651,1.9862382739212008,True
BEL,113,152,150 - 200,2000,8,10,3,19.75,5556200.0,23.375,99300.0,21.5,13500.0,18.0,8500.0,18.938,23600.0,17.88,28000.0,20.16,24300.0,Belmond Ltd.,1146819184.0,Consumer Services,2000-08-10,0,0, Bermuda,561.0,-45160000.0,9100,-0.420932708,0.197108089,0.391078882,1.0207594936708861,True
BGNE,136,233,200+,2016,2,3,2,28.32,2064816.0,24.1,497030.0,26.78,78345.0,28.6,140176.0,32.53,48851.0,32.18,61026.0,36.03,43246.0,"BeiGene, Ltd.",4681724250.0,Health Care,2016-02-03,1,1, China,239.2,-93420000.0,900,-0.103527316,-1.300379828,-1.313660722,1.2722457627118644,True
BGS,123,77,50 - 99,2007,5,23,2,13.26,6668800.0,13.5203,235600.0,13.27,159000.0,12.58,29400.0,13.2444,41000.0,9.84,13900.0,9.68,111127.0,"B&G Foods, Inc.",1701454216.0,Consumer Non-Durables,2007-05-23,0,0,USA,1670.0,217460000.0,2680,1.424362693,1.57572863,2.294088178,0.7300150829562594,False
BHBK,130,260,200+,2014,7,22,1,12.38,7465298.0,12.31,540136.0,12.89,0.0,13.23,181483.0,13.27,65773.0,13.22,107592.0,14.76,95216.0,"Blue Hills Bancorp, Inc.",561405788.9,Finance,2014-07-22,1,1,USA,101.88,16490000.0,237,1.361394955,1.430010783,1.738567297,1.1922455573505653,True
BHLB,104,260,200+,2000,6,28,2,12.313,2326700.0,12.625,176000.0,13.75,60300.0,14.625,8100.0,14.688,9800.0,18.2,600.0,17.8,48800.0,"Berkshire Hills Bancorp, Inc.",1739570151.0,Finance,2000-06-28,0,0,USA,484.84,55250000.0,1992,-0.049006389,0.19476105,0.487795088,1.4456265735401608,True
BIOS,113,69,50 - 99,1996,8,15,3,12.5,2613500.0,14.0,267900.0,13.875,440200.0,5.75,18700.0,5.0,14900.0,8.813,120600.0,10.375,114500.0,"BioScrip, Inc.",329459080.4,Health Care,1996-08-15,0,0,USA,817.19,-63300000.0,2154,0.0,0.0,0.0,0.83,False
BITA,113,15,0 - 49,2010,11,17,2,12.45,12327033.0,13.54,0.0,9.2999,77879.0,11.01,38553.0,11.65,15405.0,7.0,12374.0,4.24,120757.0,Bitauto Holdings Limited,1432368719.0,Technology,2010-11-17,0,1, China,1290.0,-238390000.0,1500,-0.905552198,0.695654975,1.283420514,0.340562248995984,False
BLCM,123,75,50 - 99,2014,12,18,3,23.88,9516832.0,21.31,808628.0,24.9,156035.0,23.36,328718.0,28.55,385563.0,16.68,282307.0,19.52,1186685.0,"Bellicum Pharmaceuticals, Inc.",301139799.5,Health Care,2014-12-18,0,0,USA,0.185,-91780000.0,137,0.4281755,1.072841398,1.624769544,0.8174204355108878,False
BLD,124,257,200+,2015,6,17,2,22.75,100.0,25.9,0.0,30.0,933802.0,34.02,505557.0,30.91,322170.0,26.13,140115.0,35.35,405250.0,TopBuild Corp.,2734542274.0,Basic Industries,2015-06-17,0,0,USA,1910.0,158130000.0,8400,-0.507646079,0.087744748,0.607763414,1.5538461538461539,True
BLDR,126,262,200+,2005,6,22,2,14.1462,9239830.0,14.8425,523237.0,18.1134,453356.0,18.8097,108613.0,19.6984,308912.0,21.7233,166776.0,17.3163,169962.0,"Builders FirstSource, Inc.",2249980275.0,Consumer Services,2005-06-22,0,0,USA,7030.0,38780000.0,15000,1.575930254,1.709041953,1.361730802,1.224095516817237,True
BLKB,135,262,200+,2004,7,22,3,8.55,3802272.0,9.0,117661.0,11.0,244630.0,10.73,13789.0,12.65,57157.0,12.52,101448.0,13.93,63241.0,"Blackbaud, Inc.",5136658648.0,Technology,2004-07-22,0,0,USA,788.31,65930000.0,3182,-1.542410599,-1.276823261,-1.601234149,1.6292397660818712,True
BLUE,134,104,100 - 149,2013,6,19,2,26.91,5305141.0,25.0,173040.0,32.11,122739.0,26.89,79723.0,22.2,154554.0,24.33,144168.0,36.79,374356.0,"bluebird bio, Inc.",8507194083.0,Health Care,2013-06-19,1,1,USA,35.43,-335640000.0,479,-0.78126773,0.602393128,1.151440929,1.3671497584541061,True
BNCL,137,243,200+,2007,7,16,0,9.21,1750978.0,9.24,268643.0,9.48,112442.0,10.0,186193.0,9.56,79343.0,9.8,0.0,11.47,236448.0,"Beneficial Bancorp, Inc.",1177693327.0,Finance,2007-07-16,0,0,USA,226.89,23110000.0,779,1.728880834,2.012742085,1.733922114,1.2453854505971769,True
BOFI,101,13,0 - 49,2005,3,15,1,2.875,3876268.0,2.875,175188.0,2.2775,303200.0,2.3625,8268.0,2.3875,34140.0,2.125,190368.0,1.8,6400.0,"BofI Holding, Inc.",2589978285.0,Finance,2005-03-15,0,0,USA,456.98,134740000.0,681,-0.933411369,0.034741441,0.736348978,0.6260869565217392,False
BOOT,130,256,200+,2014,10,30,3,17.45,6884159.0,17.22,56610.0,21.92,97132.0,18.56,248674.0,24.81,253527.0,32.28,226181.0,15.0,338120.0,"Boot Barn Holdings, Inc.",466797121.6,Consumer Services,2014-10-30,1,1,USA,629.82,14200000.0,3000,1.489249179,0.828237987,1.105674262,0.8595988538681949,False
BPMC,132,209,200+,2015,4,30,3,18.87,7157672.0,23.6,270339.0,31.49,181587.0,30.12,49673.0,28.39,109048.0,21.5,178112.0,15.18,352272.0,Blueprint Medicines Corporation,3778869040.0,Health Care,2015-04-30,1,1,USA,21.43,-148120000.0,149,-0.414696628,0.08624787,0.656873525,0.8044515103338632,False
BRKL,97,58,50 - 99,1998,3,25,2,7.573,12680225.0,8.102,937346.0,7.916,114377.0,7.087,107598.0,6.545,145435.0,5.43,154620.0,5.059,135156.0,"Brookline Bancorp, Inc.",1313129322.0,Finance,1998-03-25,0,0,USA,293.04,50520000.0,765,1.628189927,1.866411757,2.518394953,0.668031163343457,False
BRS,125,96,50 - 99,2001,1,2,1,22.25,238800.0,21.688,256600.0,21.313,476600.0,25.875,538000.0,24.98,110800.0,19.34,89200.0,17.33,104300.0,Bristow Group Inc,540915002.8,Transportation,2001-01-02,0,0,USA,1400.0,-170540000.0,4374,-1.423222668,-1.871826285,-2.015592481,0.7788764044943819,False
BRSS,117,262,200+,2013,5,23,3,13.55,2811046.0,13.2,51350.0,15.14,92010.0,20.07,25876.0,17.21,215852.0,16.98,389393.0,15.09,49343.0,"Global Brass and Copper Holdings, Inc.",715747974.0,Capital Goods,2013-05-23,0,0,USA,1560.0,50900000.0,1926,0.864889886,1.708010557,1.837725911,1.1136531365313653,True
BTE,130,211,200+,2006,3,27,0,17.5,322500.0,17.16,90200.0,19.73,94500.0,20.55,63400.0,21.53,47500.0,20.0,141600.0,18.13,214800.0,Baytex Energy Corp,795824028.5,Energy,2006-03-27,0,0, Canada,849.64,87170000.0,136,0.832025971,1.447235307,1.319632947,1.036,True
BWP,138,229,200+,2005,11,9,2,18.95,5936500.0,18.78,372100.0,18.84,187800.0,18.94,96300.0,20.13,78000.0,24.23,46400.0,30.3,73700.0,Boardwalk Pipeline Partners L.P.,2710714149.0,Public Utilities,2005-11-09,0,0,USA,1320.0,291100000.0,1260,1.506709546,0.459862873,0.550674293,1.5989445910290239,True
CAC,83,262,200+,1997,10,7,1,9.8333,24300.0,12.0,4050.0,13.3333,2250.0,13.0313,900.0,13.198,2700.0,13.222,1350.0,11.4167,2250.0,Camden National Corporation,690926965.8,Finance,1997-10-07,0,0,USA,174.42,28360000.0,636,2.209097304,2.748395455,1.594269577,1.1610242746585582,True
CADE,132,238,200+,2017,4,13,3,21.55,5392979.0,22.22,163664.0,22.44,70919.0,22.33,65198.0,21.47,68414.0,26.86,503387.0,27.73,468167.0,Cadence Bancorporation,2356552500.0,Finance,2017-04-13,1,1,USA,493.41,102350000.0,1206,-2.157590049,-0.158066832,0.731500188,1.2867749419953596,True
CAI,122,45,0 - 49,2007,5,16,2,15.0,3780400.0,14.75,33200.0,14.09,18500.0,13.66,22500.0,12.93,10700.0,8.38,11200.0,17.24,32432.0,"CAI International, Inc.",443826872.5,Technology,2007-05-16,0,0,USA,348.39,72060000.0,215,1.548311596,1.675301916,2.412407475,1.1493333333333333,True
CALX,127,81,50 - 99,2010,3,24,2,15.1,5533491.0,13.72,262039.0,12.29,206860.0,11.5,46801.0,10.48,160608.0,12.77,855283.0,19.0,297094.0,"Calix, Inc",359446549.6,Consumer Services,2010-03-24,1,1,USA,510.37,-83030000.0,1031,1.2363611,1.638971679,2.027839837,1.2582781456953642,True
CAPL,134,194,150 - 200,2012,10,25,3,20.23,2734346.0,20.57,124114.0,18.65,81229.0,19.87,95550.0,20.61,22490.0,24.94,4915.0,28.64,25802.0,CrossAmerica Partners LP,738172016.0,Energy,2012-10-25,0,0,USA,2090.0,18820000.0,604,-1.847403672,-0.421568766,0.594157527,1.4157192288680178,True
CARO,86,198,150 - 200,2013,10,22,1,7.2646,17760.0,6.3542,480.0,6.5104,19560.0,6.4062,0.0,7.6042,9758.0,8.2417,17923.0,10.5625,10080.0,Carolina Financial Corporation,833246155.2,Finance,2013-10-22,1,1,USA,125.66,28570000.0,770,2.127421616,2.498152784,2.438672718,1.45396855986565,True
CATM,119,82,50 - 99,2007,12,11,1,9.5,9547704.0,9.9,197676.0,8.42,0.0,7.5,21910.0,7.17,310277.0,7.47,36756.0,1.37,89822.0,Cardtronics plc,1129654337.0,Miscellaneous,2007-12-11,0,0,USA,1510.0,-145350000.0,2271,0.583631918,-0.583107699,-0.469219194,0.14421052631578948,False
CAVM,134,245,200+,2007,5,2,2,16.45,5396947.0,17.35,277772.0,19.5,173150.0,26.88,561150.0,28.3,108625.0,19.36,361381.0,20.98,485078.0,"Cavium, Inc.",5631922693.0,Technology,2007-05-02,1,1,USA,984.02,-68860000.0,1895,1.399612814,1.828165402,2.437071407,1.2753799392097265,True
CBAY,80,24,0 - 49,2014,1,27,0,9.0,100.0,9.0,0.0,8.0,1000.0,7.0,0.0,7.99,0.0,8.64,786681.0,10.03,167499.0,CymaBay Therapeutics Inc.,767543537.3,Health Care,2014-01-27,0,0,USA,10.0,-27560000.0,26,-3.026362125,-0.823617136,0.52608397,1.1144444444444443,True
CBOE,125,6,0 - 49,2010,6,15,1,32.49,17033964.0,33.48,1029328.0,26.5,631260.0,22.17,0.0,23.2,467580.0,27.11,0.0,23.77,976559.0,"Cboe Global Markets, Inc.",12221515915.0,Finance,2010-06-15,0,0,USA,2230.0,396700000.0,889,1.281768247,-0.682378899,-0.373082972,0.7316097260695598,False
CBPX,124,230,200+,2014,2,5,2,15.19,7478549.0,17.3,524319.0,18.69,173948.0,16.99,74891.0,16.84,40172.0,13.56,56701.0,17.2,183709.0,"Continental Building Products, Inc.",1090386838.0,Capital Goods,2014-02-05,0,0,USA,489.16,59850000.0,621,-1.806218478,-1.909799609,0.014840043,1.1323238973008558,True
CBSHP,122,241,200+,2014,6,16,0,24.96,1206399.0,25.0,104050.0,25.21,70941.0,24.81,27101.0,24.92,23484.0,25.45,26455.0,25.3,31030.0,"Commerce Bancshares, Inc.",2345994342.0,Finance,2014-06-16,1,0,USA,1290.0,315540000.0,4857,0.782979236,1.727515014,1.940345693,1.013621794871795,True
